SKU;Marca;Producto;Categoria;Modelo;Origen;Talle;Temporada;Color;Tela;Precio;Imagen;Galeria
100;LDE;CAJA RECIBIDORA ;Cajas;OCB;ARGENTINA ;;2018/2019;azul;;1;T_5_front.jpg;T_5_back.jpg
101;LDE;SET RECIBIDOR COMPLETO;Cajas;1920;ARGENTINA ;;2018/2019;azul;;1;T_5_front.jpg;T_5_back.jpg
102;LDE;CAJA AJUAR COMPLETO;Cajas;1900;ARGENTINA ;;2018/2019;azul;;1;T_5_front.jpg;T_5_back.jpg
103;LDE;CAJA NENAS HADAS;Cajas;2002;ARGENTINA ;;2018/2019;azul;;1;T_5_front.jpg;T_5_back.jpg
104;LDE;CAJA NENAS CUPCAKES;Cajas;2004;ARGENTINA ;;2018/2019;azul;;1;T_5_front.jpg;T_5_back.jpg
105;LDE;CAJA VARÓN BORDADO PERRITO;Cajas;2001;ARGENTINA ;;2018/2019;azul;;1;T_5_front.jpg;T_5_back.jpg
106;LDE;CAJA VARÓN OSO ;Cajas;2003;ARGENTINA ;;2018/2019;azul;;1;T_5_front.jpg;T_5_back.jpg
107;LDE;CAJA GATITO HELLO;Cajas;2038;ARGENTINA ;;2018/2019;azul;;1;T_5_front.jpg;T_5_back.jpg
108;LDE;CAJA NENA GATITO CON BODY;Cajas;2040;ARGENTINA ;;2018/2019;azul;;1;T_5_front.jpg;T_5_back.jpg
109;LDE;CAJA NENA BRODERY CORAZON ;Cajas;2057;ARGENTINA ;;2018/2019;azul;;1;T_5_front.jpg;T_5_back.jpg
110;LDE;CAJA VARÓN MARINERO;Cajas;2068;ARGENTINA ;;2018/2019;azul;;1;T_5_front.jpg;T_5_back.jpg
111;LDE;CAJA VARÓN ESTRELLA ACT;Cajas;2008;ARGENTINA ;;2018/2019;azul;;350;T_5_front.jpg;T_5_back.jpg
112;LDE;CAJA VARÓN CON BODY;Cajas;2039;ARGENTINA ;;2018/2019;azul;;1;T_5_front.jpg;T_5_back.jpg
113;LDE;JARDINERO CUADRO;Body;1869;ARGENTINA ;;2018/2019;azul;;1;T_5_front.jpg;T_5_back.jpg
114;LDE;ENTERITO ALGON RAYADO OREJITAS ;Body;2022;ARGENTINA ;;2018/2019;azul;;1;T_5_front.jpg;T_5_back.jpg
115;LDE;ENTERITO CORTO VARÓN ANIMALITOS ;Body;2021;ARGENTINA ;;2018/2019;azul;;1;T_5_front.jpg;T_5_back.jpg
116;LDE;ENTERITO JERSEY ;Body;1885;ARGENTINA ;;2018/2019;azul;;1;T_5_front.jpg;T_5_back.jpg
117;LDE;BODY CAMISA ESTAMPADO;Body;2084;ARGENTINA ;;2018/2019;azul;;300;T_5_front.jpg;T_5_back.jpg
118;LDE;BODY CHOMBA VARON PALMERAS;Body;2010;ARGENTINA ;;2018/2019;azul;;250;T_5_front.jpg;T_5_back.jpg
119;LDE;BODY MUSCULOSO ESTAMPADO;Body;2014;ARGENTINA ;;2018/2019;azul;;200;T_5_front.jpg;T_5_back.jpg
120;LDE;BODY NENA LOVE LENTEJUELAS;Body;2023;ARGENTINA ;;2018/2019;azul;;1;T_5_front.jpg;T_5_back.jpg
121;LDE;CAMPERA DE JEANS C/MANGAS RUSTICO;Camperas;1559;ARGENTINA ;;2018/2019;azul;;1;T_5_front.jpg;T_5_back.jpg
122;LDE;CONJ. INTER. NENA Y VARON CON BORDADO ESPAL;Conjuntos;1520;ARGENTINA ;;2018/2019;azul;;1;T_5_front.jpg;T_5_back.jpg
123;LDE;CONJ VARON RUSTICO PALMERAS;Conjuntos;1867;ARGENTINA ;;2018/2019;azul;;1;T_5_front.jpg;T_5_back.jpg
124;LDE;CONJ NENA RUSTICO ESTAMPADO;Conjuntos;1857;ARGENTINA ;;2018/2019;azul;;1;T_5_front.jpg;T_5_back.jpg
125;LDE;CONJ INTERLOCK NENA CORAZONES ;Conjuntos;1852;ARGENTINA ;;2018/2019;rosa;;500;T_5_front.jpg;T_5_back.jpg
126;LDE;BODY CHOMBA VARON CACTUS ;Body;1823;ARGENTINA ;;2018/2019;rosa;;1;T_5_front.jpg;T_5_back.jpg
127;LDE;BODY NENA CON MOÑO ESTAMPADO ;Body;1829;ARGENTINA ;;2018/2019;rosa;;1;T_5_front.jpg;T_5_back.jpg
128;LDE;BODY VARON ESTAMPADO VELERO;Body;1821;ARGENTINA ;;2018/2019;rosa;;1;T_5_front.jpg;T_5_back.jpg
129;LDE;BODY ETIQUETA NENA Y VARON ESTAMPADO ;Body;1827;ARGENTINA ;;2018/2019;rosa;;1;T_5_front.jpg;T_5_back.jpg
130;LDE;BODY ESTAMPADO UNISEX MUSCULOSO;Body;1519;ARGENTINA ;;2018/2019;rosa;;1;T_5_front.jpg;T_5_back.jpg
131;LDE;VESTIDO DE JERSEY FLOREADO;Vestidos;1842;ARGENTINA ;;2018/2019;rosa;;1;T_5_front.jpg;T_5_back.jpg
